id,source_id,kind,origin_id,title,url,author,summary_raw,event_time,status,created_at
26,16,github:tag,tag:v4.56.2,🏷️ huggingface/transformers — Tag v4.56.2,https://github.com/huggingface/transformers/releases/tag/v4.56.2,huggingface,,,enriched,2025-11-03 14:14:05.954623+00
27,22,github:release,release:227870897,🔖 openai/whisper — v20250625,https://github.com/openai/whisper/releases/tag/v20250625,openai,v20250625,2025-06-26 01:06:09+00,enriched,2025-11-03 14:14:09.392262+00
28,22,github:release,release:177659874,🔖 openai/whisper — v20240930,https://github.com/openai/whisper/releases/tag/v20240930,openai,v20240930,2024-09-30 18:21:20+00,enriched,2025-11-03 14:14:12.039219+00
29,22,github:release,release:177383523,🔖 openai/whisper — v20240927,https://github.com/openai/whisper/releases/tag/v20240927,openai,v20240927,2024-09-27 23:44:27+00,enriched,2025-11-03 14:14:14.406277+00
30,22,github:tag,tag:v20250625,🏷️ openai/whisper — Tag v20250625,https://github.com/openai/whisper/releases/tag/v20250625,openai,,,enriched,2025-11-03 14:14:17.325316+00
31,22,github:tag,tag:v20240930,🏷️ openai/whisper — Tag v20240930,https://github.com/openai/whisper/releases/tag/v20240930,openai,,,enriched,2025-11-03 14:14:19.751272+00
32,22,github:tag,tag:v20240927,🏷️ openai/whisper — Tag v20240927,https://github.com/openai/whisper/releases/tag/v20240927,openai,,,enriched,2025-11-03 14:14:22.377908+00
33,28,github:release,release:256506322,🔖 kubernetes/kubernetes — v1.35.0-alpha.2,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.2,kubernetes,Kubernetes v1.35.0-alpha.2,2025-10-22 22:03:54+00,enriched,2025-11-03 14:14:25.582973+00
34,28,github:release,release:253049076,🔖 kubernetes/kubernetes — v1.35.0-alpha.1,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.1,kubernetes,Kubernetes v1.35.0-alpha.1,2025-10-08 14:22:33+00,enriched,2025-11-03 14:14:27.885282+00
35,28,github:release,release:246044335,🔖 kubernetes/kubernetes — v1.34.1,https://github.com/kubernetes/kubernetes/releases/tag/v1.34.1,kubernetes,Kubernetes v1.34.1,2025-09-10 03:28:09+00,enriched,2025-11-03 14:14:30.214831+00
36,28,github:tag,tag:v1.35.0-alpha.2,🏷️ kubernetes/kubernetes — Tag v1.35.0-alpha.2,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.2,kubernetes,,,enriched,2025-11-03 14:14:33.282924+00
